dt,#,Type,Order,Time,Size,Price,SL,TP,P/L,Pips,Comment
2003-07-29 08:30:11,1,Sell,1.0,2003-07-29 08:30:11,0.52,1.1512,1.1550200000000002,1.1358400000000002,,,Opened by user
2003-07-30 15:43:39,2,Close Sell,1.0,2003-07-30 15:43:39,0.52,1.1358400000000002,1.1550200000000002,1.1358400000000002,798.72,153.6,Closed by TP
2003-08-20 00:00:05,3,Sell,2.0,2003-08-20 00:00:05,0.75,1.11277,1.1156300000000001,,,,Opened by user
2003-09-04 00:00:05,4,Close Sell,2.0,2003-09-04 00:00:05,0.75,1.0818,1.1156300000000001,,2322.75,309.7,Closed by user
2003-09-04 00:00:05,5,Buy,3.0,2003-09-04 00:00:05,0.39,1.0818,1.0751700000000002,1.09783,,,Opened by user
2003-09-05 13:04:02,6,Close Buy,3.0,2003-09-05 13:04:02,0.39,1.09783,1.0751700000000002,1.09783,625.17,160.3,Closed by TP
2003-09-12 11:00:01,7,Buy,4.0,2003-09-12 11:00:01,0.55,1.11538,1.11047,1.1476600000000001,,,Opened by user
2003-09-21 22:24:07,8,Close Buy,4.0,2003-09-21 22:24:07,0.55,1.1476600000000001,1.11047,1.1476600000000001,1775.4,322.8,Closed by TP
2003-10-02 07:30:13,9,Sell,5.0,2003-10-02 07:30:13,0.52,1.17165,1.1775300000000002,1.1537600000000001,,,Opened by user
2003-10-06 06:09:29,10,Close Sell,5.0,2003-10-06 06:09:29,0.52,1.1537600000000001,1.1775300000000002,1.1537600000000001,930.28,178.9,Closed by TP
2003-10-06 11:30:10,11,Buy,6.0,2003-10-06 11:30:10,0.54,1.15822,1.1521800000000002,1.1827100000000002,,,Opened by user
2003-10-08 06:37:32,12,Close Buy,6.0,2003-10-08 06:37:32,0.54,1.1827100000000002,1.1521800000000002,1.1827100000000002,1322.46,244.9,Closed by TP
2003-10-09 10:00:01,13,Sell,7.0,2003-10-09 10:00:01,0.79,1.18198,1.18646,1.1704700000000001,,,Opened by user
2003-10-09 15:18:23,14,Close Sell,7.0,2003-10-09 15:18:23,0.79,1.1704700000000001,1.18646,1.1704700000000001,909.29,115.1,Closed by TP
2003-10-09 18:30:04,15,Buy,8.0,2003-10-09 18:30:04,0.93,1.1715900000000001,1.1675900000000001,1.1825700000000001,,,Opened by user
2003-10-10 12:57:31,16,Close Buy,8.0,2003-10-10 12:57:31,0.93,1.1825700000000001,1.1675900000000001,1.1825700000000001,1021.14,109.8,Closed by TP
2003-10-10 14:00:04,17,Sell,9.0,2003-10-10 14:00:04,0.77,1.18165,1.1867400000000001,1.16053,,,Opened by user
2003-10-14 01:49:38,18,Close Sell,9.0,2003-10-14 01:49:38,0.77,1.16053,1.1867400000000001,1.16053,1626.24,211.2,Closed by TP
2003-10-14 07:00:01,19,Buy,10.0,2003-10-14 07:00:01,0.81,1.1624400000000001,1.1572200000000001,1.1706100000000002,,,Opened by user
2003-10-14 15:19:26,20,Close Buy,10.0,2003-10-14 15:19:26,0.81,1.1706100000000002,1.1572200000000001,1.1706100000000002,661.77,81.7,Closed by TP
